Metric		Current
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_LOC		3
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_PERCENTAGE		6.38
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_LOC		44
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_PERCENTAGE		93.62
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_COUNT		0
